name,datetime,tempmax
boston,2/24/20,64
boston,2/25/20,51.2
boston,2/26/20,47.9
boston,2/27/20,54.9
boston,2/28/20,37.2
boston,2/29/20,34.1
boston,3/1/20,32.1
boston,3/2/20,52.2
boston,3/3/20,57.2
boston,3/4/20,50
boston,3/5/20,51.2
boston,3/6/20,43.3
boston,3/7/20,44.1
boston,3/8/20,53.1
boston,3/9/20,72
boston,3/10/20,66
boston,3/11/20,57.9
boston,3/12/20,43.3
boston,3/13/20,60.2
boston,3/14/20,53
boston,3/15/20,43
boston,3/16/20,44.6
boston,3/17/20,44.1
boston,3/18/20,49.1
boston,3/19/20,42.3
boston,3/20/20,66.9
boston,3/21/20,60.2
boston,3/22/20,33.2
boston,3/23/20,40.9
boston,3/24/20,47.9
boston,3/25/20,42.2
boston,3/26/20,45.3
boston,3/27/20,61.1
boston,3/28/20,47.9
boston,3/29/20,43.2
boston,3/30/20,42.2
boston,3/31/20,39.9
boston,4/1/20,43.1
boston,4/2/20,46.3
boston,4/3/20,44.2
boston,4/4/20,43.3
boston,4/5/20,54
boston,4/6/20,61.1
boston,4/7/20,62.1
boston,4/8/20,49.9
boston,4/9/20,47.1
boston,4/10/20,47
boston,4/11/20,51.2
boston,4/12/20,60.2
boston,4/13/20,60.2
boston,4/14/20,58.9
boston,4/15/20,52.1
boston,4/16/20,46.1
boston,4/17/20,48.9
boston,4/18/20,44.1
boston,4/19/20,61.1
boston,4/20/20,51.2
boston,4/21/20,54
boston,4/22/20,44.1
boston,4/23/20,54
boston,4/24/20,46.1
boston,4/25/20,52.3
boston,4/26/20,47.2
boston,4/27/20,42.2
boston,4/28/20,44.4
boston,4/29/20,49
boston,4/30/20,48.2
boston,5/1/20,61.2
boston,5/2/20,69.2
boston,5/3/20,78.2
boston,5/4/20,68.1
boston,5/5/20,57.9
boston,5/6/20,51.4
boston,5/7/20,63
boston,5/8/20,56.1
boston,5/9/20,43.1
boston,5/10/20,60.2
boston,5/11/20,61
boston,5/12/20,55.2
boston,5/13/20,59
boston,5/14/20,69.2
boston,5/15/20,71.2
boston,5/16/20,68
boston,5/17/20,62.9
boston,5/18/20,57.7
boston,5/19/20,55.2
boston,5/20/20,57.2
boston,5/21/20,75
boston,5/22/20,82.1
boston,5/23/20,69.9
boston,5/24/20,53.4
boston,5/25/20,55.6
boston,5/26/20,66.9
boston,5/27/20,83.1
boston,5/28/20,78.1
boston,5/29/20,80.2
boston,5/30/20,80.1
boston,5/31/20,68
boston,6/1/20,63
boston,6/2/20,63.9
boston,6/3/20,79.1
boston,6/4/20,87.1
boston,6/5/20,81
boston,6/6/20,89
boston,6/7/20,63
boston,6/8/20,79
boston,6/9/20,80
boston,6/10/20,65.3
boston,6/11/20,74.9
boston,6/12/20,83
boston,6/13/20,67.9
boston,6/14/20,65.1
boston,6/15/20,64.4
boston,6/16/20,69.4
boston,6/17/20,73.4
boston,6/18/20,87.1
boston,6/19/20,86
boston,6/20/20,91.1
boston,6/21/20,87.4
boston,6/22/20,71.3
boston,6/23/20,87.1
boston,6/24/20,84.7
boston,6/25/20,85.9
boston,6/26/20,84.8
boston,6/27/20,83
boston,6/28/20,79.1
boston,6/29/20,72
boston,6/30/20,66.8
boston,7/1/20,72.1
boston,7/2/20,83.9
boston,7/3/20,76.8
boston,7/4/20,70.2
boston,7/5/20,77.1
boston,7/6/20,70.2
boston,7/7/20,80
boston,7/8/20,84.8
boston,7/9/20,83.9
boston,7/10/20,77.2
boston,7/11/20,89.1
boston,7/12/20,88
boston,7/13/20,82.1
boston,7/14/20,75.9
boston,7/15/20,69.3
boston,7/16/20,68.2
boston,7/17/20,74
boston,7/18/20,90
boston,7/19/20,94.9
boston,7/20/20,92.1
boston,7/21/20,89.9
boston,7/22/20,79.8
boston,7/23/20,89.1
boston,7/24/20,78.3
boston,7/25/20,84.1
boston,7/26/20,91.1
boston,7/27/20,94.9
boston,7/28/20,93.8
boston,7/29/20,86.1
boston,7/30/20,87.2
boston,7/31/20,78.9
boston,8/1/20,80.4
boston,8/2/20,86
boston,8/3/20,92
boston,8/4/20,78.2
boston,8/5/20,91.1
boston,8/6/20,82.1
boston,8/7/20,75.9
boston,8/8/20,77.2
boston,8/9/20,91.1
boston,8/10/20,92.9
boston,8/11/20,91.2
boston,8/12/20,91.1
boston,8/13/20,83.2
boston,8/14/20,79.1
boston,8/15/20,69.9
boston,8/16/20,69.2
boston,8/17/20,70.2
boston,8/18/20,83.9
boston,8/19/20,74.1
boston,8/20/20,79.8
boston,8/21/20,88.1
boston,8/22/20,78
boston,8/23/20,88.1
boston,8/24/20,84.1
boston,8/25/20,88.1
boston,8/26/20,74.9
boston,8/27/20,66
boston,8/28/20,81
boston,8/29/20,75.9
boston,8/30/20,75.9
boston,8/31/20,70.2
boston,9/1/20,72.2
boston,9/2/20,70.1
boston,9/3/20,76.9
boston,9/4/20,84.9
boston,9/5/20,77
boston,9/6/20,76.7
boston,9/7/20,80.1
boston,9/8/20,78.3
boston,9/9/20,76
boston,9/10/20,82.1
boston,9/11/20,74
boston,9/12/20,66.9
boston,9/13/20,74.9
boston,9/14/20,75.8
boston,9/15/20,61.1
boston,9/16/20,73.1
boston,9/17/20,76.9
boston,9/18/20,64.1
boston,9/19/20,59
boston,9/20/20,60.1
boston,9/21/20,61.1
boston,9/22/20,65.1
boston,9/23/20,79
boston,9/24/20,79
boston,9/25/20,71.2
boston,9/26/20,74
boston,9/27/20,75
boston,9/28/20,79
boston,9/29/20,75.9
boston,9/30/20,74
boston,10/1/20,74.9
boston,10/2/20,63
boston,10/3/20,63.1
boston,10/4/20,63.1
boston,10/5/20,60.3
boston,10/6/20,69.2
boston,10/7/20,74
boston,10/8/20,62.1
boston,10/9/20,60.2
boston,10/10/20,77
boston,10/11/20,66.8
boston,10/12/20,54
boston,10/13/20,57.9
boston,10/14/20,70
boston,10/15/20,71.2
boston,10/16/20,69.1
boston,10/17/20,57.8
boston,10/18/20,58
boston,10/19/20,57.2
boston,10/20/20,66
boston,10/21/20,65.1
boston,10/22/20,66.9
boston,10/23/20,61.3
boston,10/24/20,70
boston,10/25/20,48.9
boston,10/26/20,53.1
boston,10/27/20,53.1
boston,10/28/20,50
boston,10/29/20,48.8
boston,10/30/20,44.1
boston,10/31/20,42
boston,11/1/20,48.8
boston,11/2/20,44
boston,11/3/20,42.2
boston,11/4/20,54
boston,11/5/20,69.2
boston,11/6/20,72
boston,11/7/20,74.1
boston,11/8/20,70.1
boston,11/9/20,60.8
boston,11/10/20,74.1
boston,11/11/20,73.2
boston,11/12/20,65
boston,11/13/20,48.8
boston,11/14/20,48.8
boston,11/15/20,57
boston,11/16/20,54
boston,11/17/20,47
boston,11/18/20,35
boston,11/19/20,44.1
boston,11/20/20,63
boston,11/21/20,61.1
boston,11/22/20,47
boston,11/23/20,57.9
boston,11/24/20,43.1
boston,11/25/20,50
boston,11/26/20,59
boston,11/27/20,55.1
boston,11/28/20,52.1
boston,11/29/20,52.1
boston,11/30/20,61.2
boston,12/1/20,63
boston,12/2/20,43
boston,12/3/20,48.9
boston,12/4/20,57
boston,12/5/20,46.1
boston,12/6/20,36
boston,12/7/20,33.2
boston,12/8/20,30.8
boston,12/9/20,36
boston,12/10/20,44
boston,12/11/20,51.1
boston,12/12/20,47
boston,12/13/20,57.9
boston,12/14/20,39.7
boston,12/15/20,36
boston,12/16/20,29.8
boston,12/17/20,31.9
boston,12/18/20,29
boston,12/19/20,29.1
boston,12/20/20,35.9
boston,12/21/20,36.9
boston,12/22/20,44.1
boston,12/23/20,38.1
boston,12/24/20,52.2
boston,12/25/20,58
boston,12/26/20,39.8
boston,12/27/20,38
boston,12/28/20,48.9
boston,12/29/20,42.1
boston,12/30/20,39.8
boston,12/31/20,45
boston,1/1/21,36
boston,1/2/21,42.3
boston,1/3/21,35.7
boston,1/4/21,39
boston,1/5/21,33.2
boston,1/6/21,38.1
boston,1/7/21,41
boston,1/8/21,41.1
boston,1/9/21,35.9
boston,1/10/21,41
boston,1/11/21,35.1
boston,1/12/21,42.1
boston,1/13/21,39.9
boston,1/14/21,38
boston,1/15/21,39.9
boston,1/16/21,51.2
boston,1/17/21,43
boston,1/18/21,45
boston,1/19/21,39.9
boston,1/20/21,37.2
boston,1/21/21,30.8
boston,1/22/21,42.2
boston,1/23/21,34
boston,1/24/21,30.8
boston,1/25/21,36
boston,1/26/21,34.2
boston,1/27/21,35.1
boston,1/28/21,33.2
boston,1/29/21,17.1
boston,1/30/21,20.1
boston,1/31/21,22.8
boston,2/1/21,35
boston,2/2/21,34.1
boston,2/3/21,34.1
boston,2/4/21,37.1
boston,2/5/21,39.9
boston,2/6/21,42.1
boston,2/7/21,37
boston,2/8/21,29.1
boston,2/9/21,27
boston,2/10/21,29.9
boston,2/11/21,29.1
boston,2/12/21,26.9
boston,2/13/21,27.9
boston,2/14/21,33.2
boston,2/15/21,30.9
boston,2/16/21,39.9
boston,2/17/21,32
boston,2/18/21,30.8
boston,2/19/21,29.9
boston,2/20/21,30.9
boston,2/21/21,33.1
boston,2/22/21,39.8
boston,2/23/21,43.1
boston,2/24/21,48.8
boston,2/25/21,46.1
boston,2/26/21,39
boston,2/27/21,47
boston,2/28/21,43.1
boston,3/1/21,44.1
boston,3/2/21,28.1
boston,3/3/21,47.8
boston,3/4/21,42
boston,3/5/21,34.9
boston,3/6/21,35.9
boston,3/7/21,37.9
boston,3/8/21,38
boston,3/9/21,60.1
boston,3/10/21,47.8
boston,3/11/21,74
boston,3/12/21,64.9
boston,3/13/21,48.7
boston,3/14/21,47.8
boston,3/15/21,29
boston,3/16/21,36.1
boston,3/17/21,51.1
boston,3/18/21,48.7
boston,3/19/21,43
boston,3/20/21,60.1
boston,3/21/21,57.9
boston,3/22/21,56.1
boston,3/23/21,55.6
boston,3/24/21,53.2
boston,3/25/21,61.3
boston,3/26/21,69
boston,3/27/21,56.9
boston,3/28/21,58.8
boston,3/29/21,53.1
boston,3/30/21,59
boston,3/31/21,67.9
boston,4/1/21,56.9
boston,4/2/21,39.7
boston,4/3/21,48.8
boston,4/4/21,61
boston,4/5/21,57
boston,4/6/21,61
boston,4/7/21,57.8
boston,4/8/21,56
boston,4/9/21,59.2
boston,4/10/21,74.9
boston,4/11/21,60
boston,4/12/21,51.1
boston,4/13/21,56.9
boston,4/14/21,51.4
boston,4/15/21,50.1
boston,4/16/21,44.9
boston,4/17/21,49.9
boston,4/18/21,61
boston,4/19/21,61.2
boston,4/20/21,74.9
boston,4/21/21,70
boston,4/22/21,46
boston,4/23/21,60.1
boston,4/24/21,73.1
boston,4/25/21,60
boston,4/26/21,56.9
boston,4/27/21,69.1
boston,4/28/21,60
boston,4/29/21,50.1
boston,4/30/21,64.9
boston,5/1/21,64.9
boston,5/2/21,75.8
boston,5/3/21,63.2
boston,5/4/21,54
boston,5/5/21,49.9
boston,5/6/21,66.7
boston,5/7/21,55.4
boston,5/8/21,54
boston,5/9/21,69.1
boston,5/10/21,61
boston,5/11/21,64.9
boston,5/12/21,66.7
boston,5/13/21,69.8
boston,5/14/21,75.7
boston,5/15/21,74
boston,5/16/21,78
boston,5/17/21,74
boston,5/18/21,82.9
boston,5/19/21,72.7
boston,5/20/21,68.2
boston,5/21/21,80.9
boston,5/22/21,88
boston,5/23/21,89
boston,5/24/21,66.7
boston,5/25/21,78.9
boston,5/26/21,91.8
boston,5/27/21,81.9
boston,5/28/21,64.9
boston,5/29/21,51
boston,5/30/21,51.1
boston,5/31/21,62
boston,6/1/21,76.8
boston,6/2/21,79
boston,6/3/21,74.8
boston,6/4/21,79.9
boston,6/5/21,91
boston,6/6/21,93.7
boston,6/7/21,94.8
boston,6/8/21,93.7
boston,6/9/21,90.9
boston,6/10/21,78.8
boston,6/11/21,64.3
boston,6/12/21,70.1
boston,6/13/21,84.7
boston,6/14/21,67.8
boston,6/15/21,72.2
boston,6/16/21,75.7
boston,6/17/21,78.9
boston,6/18/21,83.9
boston,6/19/21,89.8
boston,6/20/21,87.9
boston,6/21/21,87
boston,6/22/21,86.9
boston,6/23/21,73.1
boston,6/24/21,74.1
boston,6/25/21,68.1
boston,6/26/21,85.8
boston,6/27/21,89
boston,6/28/21,96
boston,6/29/21,97.9
boston,6/30/21,98
boston,7/1/21,82.9
boston,7/2/21,69.1
boston,7/3/21,60.1
boston,7/4/21,66.8
boston,7/5/21,76.9
boston,7/6/21,91.1
boston,7/7/21,91.1
boston,7/8/21,73.1
boston,7/9/21,78.1
boston,7/10/21,73.9
boston,7/11/21,80.9
boston,7/12/21,71
boston,7/13/21,70
boston,7/14/21,75
boston,7/15/21,78.3
boston,7/16/21,93.8
boston,7/17/21,79.2
boston,7/18/21,73.2
boston,7/19/21,72
boston,7/20/21,88
boston,7/21/21,82.9
boston,7/22/21,78.3
boston,7/23/21,79
boston,7/24/21,76
boston,7/25/21,75.8
boston,7/26/21,91.9
boston,7/27/21,87.2
boston,7/28/21,74
boston,7/29/21,79.1
boston,7/30/21,82.1
boston,7/31/21,78
boston,8/1/21,77
boston,8/2/21,82
boston,8/3/21,76.9
boston,8/4/21,74.2
boston,8/5/21,70.1
boston,8/6/21,89
boston,8/7/21,91.9
boston,8/8/21,82.9
boston,8/9/21,75
boston,8/10/21,74.9
boston,8/11/21,92.8
boston,8/12/21,94.9
boston,8/13/21,89.9
boston,8/14/21,91.9
boston,8/15/21,80.1
boston,8/16/21,77.1
boston,8/17/21,84.8
boston,8/18/21,87.9
boston,8/19/21,85.9
boston,8/20/21,80.1
boston,8/21/21,82.3
boston,8/22/21,74.1
boston,8/23/21,76.1
boston,8/24/21,89.9
boston,8/25/21,92
boston,8/26/21,94.9
boston,8/27/21,87.9
boston,8/28/21,76.9
boston,8/29/21,73.1
boston,8/30/21,87.1
boston,8/31/21,83.9
boston,9/1/21,74.6
boston,9/2/21,74.9
boston,9/3/21,75.8
boston,9/4/21,80
boston,9/5/21,74
boston,9/6/21,83.8
boston,9/7/21,80
boston,9/8/21,84.8
boston,9/9/21,74.9
boston,9/10/21,76.9
boston,9/11/21,78.1
boston,9/12/21,83
boston,9/13/21,82.1
boston,9/14/21,72.1
boston,9/15/21,84.8
boston,9/16/21,75.7
boston,9/17/21,69.2
boston,9/18/21,73.1
boston,9/19/21,71.2
boston,9/20/21,71.2
boston,9/21/21,72.1
boston,9/22/21,80
boston,9/23/21,81
boston,9/24/21,79
boston,9/25/21,73.2
boston,9/26/21,75.8
boston,9/27/21,75.8
boston,9/28/21,70.9
boston,9/29/21,64.2
boston,9/30/21,62.9
boston,10/1/21,66.8
boston,10/2/21,74.9
boston,10/3/21,66.9
boston,10/4/21,62.9
boston,10/5/21,62
boston,10/6/21,68.1
boston,10/7/21,72.1
boston,10/8/21,71.1
boston,10/9/21,64.1
boston,10/10/21,65.9
boston,10/11/21,69.2
boston,10/12/21,74
boston,10/13/21,76.9
boston,10/14/21,74.9
boston,10/15/21,69.1
boston,10/16/21,74
boston,10/17/21,64.1
boston,10/18/21,61.1
boston,10/19/21,63
boston,10/20/21,72.1
boston,10/21/21,74.1
boston,10/22/21,71.1
boston,10/23/21,59
boston,10/24/21,57
boston,10/25/21,55.1
boston,10/26/21,60.2
boston,10/27/21,51.2
boston,10/28/21,48.9
boston,10/29/21,51.1
boston,10/30/21,57.9
boston,10/31/21,65.9
boston,11/1/21,60.2
boston,11/2/21,56.1
boston,11/3/21,52.1
boston,11/4/21,48
boston,11/5/21,50
boston,11/6/21,50.1
boston,11/7/21,54.1
boston,11/8/21,59.1
boston,11/9/21,69.2
boston,11/10/21,62.1
boston,11/11/21,53
boston,11/12/21,62.1
boston,11/13/21,57.1
boston,11/14/21,50
boston,11/15/21,47.9
boston,11/16/21,48.8
boston,11/17/21,50
boston,11/18/21,70.1
boston,11/19/21,55.9
boston,11/20/21,44.2
boston,11/21/21,54
boston,11/22/21,56
boston,11/23/21,39
boston,11/24/21,43.1
boston,11/25/21,52.2
boston,11/26/21,46.9
boston,11/27/21,38
boston,11/28/21,38
boston,11/29/21,39.8
boston,11/30/21,39.9
boston,12/1/21,45.1
boston,12/2/21,59
boston,12/3/21,45
boston,12/4/21,41
boston,12/5/21,47
boston,12/6/21,61.1
boston,12/7/21,45
boston,12/8/21,36
boston,12/9/21,38.1
boston,12/10/21,43.1
boston,12/11/21,64.2
boston,12/12/21,62.1
boston,12/13/21,52.1
boston,12/14/21,51.2
boston,12/15/21,43.2
boston,12/16/21,60.2
boston,12/17/21,59
boston,12/18/21,42.9
boston,12/19/21,43.9
boston,12/20/21,32
boston,12/21/21,44.1
boston,12/22/21,42.3
boston,12/23/21,33.2
boston,12/24/21,29.9
boston,12/25/21,35.9
boston,12/26/21,38.1
boston,12/27/21,35.1
boston,12/28/21,45
boston,12/29/21,42.2
boston,12/30/21,42.2
boston,12/31/21,45
boston,1/1/22,51.2
boston,1/2/22,46.2
boston,1/3/22,33.1
boston,1/4/22,30.9
boston,1/5/22,51.1
boston,1/6/22,42.9
boston,1/7/22,33.1
boston,1/8/22,28.2
boston,1/9/22,43.1
boston,1/10/22,39.8
boston,1/11/22,21.8
boston,1/12/22,42.1
boston,1/13/22,46.2
boston,1/14/22,41
boston,1/15/22,15.2
boston,1/16/22,33.8
boston,1/17/22,48
boston,1/18/22,36
boston,1/19/22,46.1
boston,1/20/22,38.9
boston,1/21/22,21.8
boston,1/22/22,26.1
boston,1/23/22,35.1
boston,1/24/22,29.9
boston,1/25/22,39.9
boston,1/26/22,28
boston,1/27/22,26.1
boston,1/28/22,35.1
boston,1/29/22,29.1
boston,1/30/22,22.9
boston,1/31/22,29.9
boston,2/1/22,35
boston,2/2/22,40
boston,2/3/22,47
boston,2/4/22,40
boston,2/5/22,24.2
boston,2/6/22,26.2
boston,2/7/22,39.8
boston,2/8/22,41
boston,2/9/22,43.1
boston,2/10/22,50
boston,2/11/22,52.1
boston,2/12/22,60.2
boston,2/13/22,38.9
boston,2/14/22,25.1
boston,2/15/22,27
boston,2/16/22,46.1
boston,2/17/22,61
boston,2/18/22,62.1
boston,2/19/22,38
boston,2/20/22,33.2
boston,2/21/22,52.2
boston,2/22/22,54.1
boston,2/23/22,66.9
boston,2/24/22,33.1
